ID;LAT;LNG;NOMBRE;DIRECCION;TELEFONO;EMAIL;WEB;MECANICA_S;HORARIO_DE;CALLE;ALTURA;DIRECCION_;BARRIO;COMUNA
15;-34.608911817360074;-58.432576320571769;NODARI TALLER;AVDA. D¡AZ VELEZ 4686;4958-1405;VENTAS@NODARI.COM.AR;HTTP://WWW.NODARI.COM.AR/;TRUE;LUNES A VIERNES DE 10 A 19HS- SABADOS 9 A 15HS;DIAZ VELEZ AV.;4686;DIAZ VELEZ AV. 4686;CABALLITO;COMUNA 6
16;-34.635814461900949;-58.440699391622609;LOS PRIMOS;ASAMBLEA 1126;4921-2906;LOSPRIMOSBIKES@HOTMAIL.COM;;FALSE;LUN A DOM DE 10 A 19.30;ASAMBLEA AV.;1126;ASAMBLEA AV. 1126;PARQUE CHACABUCO;COMUNA 7
18;-34.593947379180193;-58.385795120230064;BELOSOPHY;TALCAHUANO 1235;4815-7329;INFO@BELOSOPHYBIKES.COM.AR;HTTP://BELOSOPHYBIKES.COM/;TRUE;LUN A VIER DE 10.30 A 19.30 / SAB DE 10.30 A 14;TALCAHUANO;1235;TALCAHUANO 1235;RETIRO;COMUNA 1
19;-34.641341287386325;-58.368837636986555;RODADOS SAINT GERMAIN;AVENIDA REG DE PATRICIOS 1;4302-2708;RODADOSSAINTGERMAIN@HOTMAIL.COM;;TRUE;;REGIMIENTO DE PATRICIOS AV.;1228;REGIMIENTO DE PATRICIOS AV. 1228;BOCA;COMUNA 4
20;-34.608518904929106;-58.3850006184894;BIKE-SHOP;TALCAHUANO 10;4383-3925;BIKESHOPS@YAHOO.COM.AR/ANATABORCIAS@YAHOO.COM.AR;HTTP://WWW.BICICLETASBIKESHOP.COM.AR;TRUE;LUN A VIER DE 9 A 19/SAB DE 9 A 16;TALCAHUANO;10;TALCAHUANO 10;SAN NICOLAS;COMUNA 1
21;-34.558098421227257;-58.45938026283148;NEW BIKES;MONROE 2364;4780-2066;INFO@NEWBIKES.COM.AR;HTTP://WWW.NEWBIKES.COM.AR/;FALSE;LUN A VIER DE 10 A 13.30 Y DE 14.30 A 20;MONROE;2364;MONROE 2364;BELGRANO;COMUNA 13
22;-34.584700827294576;-58.415597265205349;NEW BIKES;SCALABRINI ORTIZ 2552;4832-1232;INFO@NEWBIKES.COM.AR;HTTP://WWW.NEWBIKES.COM.AR/;FALSE;LUN A VIER DE 10 A 13.30 Y DE 14.30 A 20;SCALABRINI ORTIZ, RAUL;2552;SCALABRINI ORTIZ, RAUL 2552;PALERMO;COMUNA 14
23;-34.615647760878744;-58.464809711571107;PROBIKES;BOYACA 1130;4582-0876;INFO@PROBIKES.COM.AR;HTTP://WWW.PROBIKES.COM.AR/;FALSE;LUN A VIER DE 9 A 19 / SAB DE 9 A 16;BOYACA;1130;BOYACA 1130;VILLA GRAL. MITRE;COMUNA 11
24;-34.608630865379297;-58.440244813566629;RODADOS LA ESQUINA;AV D¡AZ VELEZ 5201;4981-4931;RODADOSLAESQUINA@GMAIL.COM;HTTP://WWW.RODADOSLAESQUINA.COM.AR/;TRUE;LUN A VIER DE 9.30 A 14 Y DE 15 A 20.30/SABADOS DE 9.30 A 20;DIAZ VELEZ AV.;5201;DIAZ VELEZ AV. 5201;CABALLITO;COMUNA 6
25;-34.601523411993;-58.42375745762466;SIN-LIMITE;HUMAHUACA 4193;4863-5311;INFO@SIN-LIMITE.COM.AR;HTTP://WWW.SIN-LIMITE.COM.AR/;TRUE;LUN A VIE DE 14 A 20:30/SAB DE 10 A 15;HUMAHUACA;4193;HUMAHUACA 4193;ALMAGRO;COMUNA 5
26;-34.626831602996688;-58.371069122314715;BICICLETAS MILA;CASEROS 402;4307-4370;BICICLETASMILA@HOTMAIL.COM;WWW.BICICLETASMILA.COM.AR;FALSE;LUN A VIER DE 9 A 19;CASEROS AV.;402;CASEROS AV. 402;BARRACAS;COMUNA 4
27;-34.637212256248311;-58.407180097429716;POWER BIKES;CASEROS 3081;4912-0141;JORGE_SAMITE@HOTMAIL.COM;;FALSE;;CASEROS AV.;3081;CASEROS AV. 3081;PARQUE PATRICIOS;COMUNA 4
28;-34.571112522466535;-58.446307360510751;RUNNER BIKE;CIUDAD DE LA PAZ 771;4771-9277;VENTAS@RUNNERBIKE.COM.AR;HTTP://WWW.RUNNERBIKE.COM.AR/;TRUE;LUN A VIER DE 10 A 14 Y 15 A 20/SAB DE 10 A 14 Y DE 15 A 19;CIUDAD DE LA PAZ;771;CIUDAD DE LA PAZ 771;COLEGIALES;COMUNA 13
29;-34.624992981500796;-58.427395522708814;BICICLETERIAS ALE;AV. LA PLATA 795;4923-3931;INFO@ALEBIKES.COM.AR;HTTP://WWW.ALEBIKES.COM.AR/;FALSE;LUN A VIER DE 10 A 13 Y DE 15 A 19.30/ SAB DE 9.30 A 16;LA PLATA AV.;795;LA PLATA AV. 795;CABALLITO;COMUNA 6
30;-34.580365554062418;-58.425646989945932;ANDINO BIKES;GUEMES 4818;4775-3677;ANDINO_BIKE@HOTMAIL.COM;HTTP://WWW.ANDINOBIKE.COM.AR/;FALSE;LUN A VIER DE 9 A 19 / SAB DE 10:00 - 17:00;GUEMES;4818;GUEMES 4818;PALERMO;COMUNA 14
31;-34.582944479581535;-58.426701484198233;BICICLETERIA ORENSE;PARAGUAY 4718;4774 6293;ORENSEBIKES@YAHOO.COM.AR;HTTP://WWW.BICICLETASORENSE.COM.AR/;TRUE;LUN A VIER DE 9.30-13 Y DE 15 A 19.30;PARAGUAY;4718;PARAGUAY 4718;PALERMO;COMUNA 14
32;-34.591915372813645;-58.41279876038783;AMERICAN BIKE;AV. CNEL. DIAZ 1664;4822-0889;INFO@AMERICANBIKE.COM.AR;HTTP://WWW.AMERICANBIKE.COM.AR/;TRUE;LUN A VIER DE 10 A 14 Y DE 15 A 20.30 / SAB DE 10 A 14 Y DE 15 A 20;DIAZ, CNEL. AV.;1664;DIAZ, CNEL. AV. 1664;PALERMO;COMUNA 14
33;-34.585908786905108;-58.442391551386983;BICICLETERIA ORENSE;AV. CORDOBA 5801;4772-2265;ORENSEBIKES@YAHOO.COM.AR;HTTP://WWW.BICICLETASORENSE.COM.AR/;TRUE;LUN A VIER DE 9.30-13 Y DE 15 A 19.30;CORDOBA AV.;5801;CORDOBA AV. 5801;PALERMO;COMUNA 14
34;-34.648205232364916;-58.488195481760833;RODADOS UNIVERSO;AV DIRECTORIO 4699;4682-3627;INFO@RODADOSUNIVERSO.COM.AR;HTTP://WWW.RODADOSUNIVERSO.COM.AR/;FALSE;LUN A VIER DE 9 A 13 Y DE 15 A 20/SAB DE 9 A 14;DIRECTORIO AV.;4699;DIRECTORIO AV. 4699;PARQUE AVELLANEDA;COMUNA 9
35;-34.635174408247387;-58.488299538297156;RODADOS UNIVERSO;AV. RIVADAVIA 8829;4671-0478;INFO@RODADOSUNIVERSO.COM.AR;HTTP://WWW.RODADOSUNIVERSO.COM.AR/;FALSE;LUN A VIER DE 9 A 13 Y DE 15 A 20/SAB DE 9 A 14;RIVADAVIA AV.;8829;RIVADAVIA AV. 8829;VELEZ SARSFIELD;COMUNA 10
36;-34.540009667518994;-58.474642109934216;BICICLETERIAS MARINO;AV. CABILDO 4883;4701-5485;BICICLETASMARINO@FIBERTEL.COM.AR;;FALSE;LUN A VIER DE 9 A 12 Y DE 15 A 19/SAB DE 9 A 13;CABILDO AV.;4883;CABILDO AV. 4883;NUÑEZ;COMUNA 13
37;-34.614276349255967;-58.459492450069483;RODADOS SCHISANO;AV. DONATO ALVAREZ 1064;4584-8159;RODADOSCHISANO@FIBERTEL.COM.AR;HTTP://RODADOSCHISANO.BLOGSPOT.COM.AR/;FALSE;;ALVAREZ, DONATO, TTE. GRAL.;1064;ALVAREZ, DONATO, TTE. GRAL. 1064;FLORES;COMUNA 7
38;-34.58161501438537;-58.495004130371157;RODADOS DIAZ;AV MOSCONI 2255;4571-6481/4574-1613;INFO@RODASDOSDIAZ.COM.AR;HTTP://WWW.RODADOSDIAZ.COM.AR/;FALSE;LUN A VIER DE 7 A 15/SAB DE 8 A 13;MOSCONI GENERAL AV.;2255;MOSCONI GENERAL AV. 2255;VILLA PUEYRREDON;COMUNA 12
39;-34.659085913799181;-58.51397555993789;HAM BIKE;GUAMIN¡ 1928;4686-3486;HAMBIKE@HOTMAIL.COM;HTTP://WWW.HAMBIKE.COM.AR/;FALSE;LUN - VIE: 9:30 - 18:30/SAB: 9:30 - 18:00;GUAMINI;1928;GUAMINI 1928;MATADEROS;COMUNA 9
40;-34.554074139702209;-58.459614177448735;NINO BIKES;AV. CONGRESO 2114;3527-4001;BICICLETERIANINO@GMAIL.COM;HTTP://WWW.NINOBIKES.COM/;TRUE;;CONGRESO;2114;CONGRESO 2114;BELGRANO;COMUNA 13
42;-34.628670936634464;-58.43951886578278;MEGA BIKE CENTER;AV DIRECTORIO 899;4923-7767;ALEJONAPPI@YAHOO.COM.AR;;FALSE;LUN A SAB DE 9 A 19;DIRECTORIO AV.;899;DIRECTORIO AV. 899;CABALLITO;COMUNA 6
43;-34.544188736849968;-58.471563155063315;RODADOS ATALAYA;AV.CABILDO 4337;4702-2952;ATALAYA@RODADOSATALAYA.COM;HTTP://WWW.RODADOSATALAYA.COM.AR/;FALSE;LUN A VIER DE 9 A 12 Y DE 15 A 19 / SAB DE 9 A 14;CABILDO AV.;4337;CABILDO AV. 4337;NUÑEZ;COMUNA 13
44;-34.5907058294205;-58.424996127968242;ONLY BIKES DE RODADOS LUCERN;SCALABRINI ORTIZ 1602;4831-4286;RODADOSLUCERNA@FIBERTEL.COM.AR;HTTP://WWW.ONLYBIKES.COM.AR/;FALSE;LUN A SAB DE 10 A 20;SCALABRINI ORTIZ, RAUL AV.;1602;SCALABRINI ORTIZ, RAUL AV. 1602;PALERMO;COMUNA 14
46;-34.644778606715292;-58.464270843804186;RODADOS VIDAL;AV.EVA PER¢N 3454;4612-8198;BICIMAN75@HOTMAIL.COM;;FALSE;;PERON, EVA AV.;3454;PERON, EVA AV. 3454;FLORES;COMUNA 7
47;-34.60190002960541;-58.495439580278848;ZOTTA;R. GUTIERREZ 3222;4503 1882;INFO@ZOTTA.COM.AR;HTTP://WWW.ZOTTA.COM.AR;FALSE;LUN A VIER DE 8.30 A 13 Y DE 14 A 18/SAB DE 8.30 A 13.30;GUTIERREZ, RICARDO;3222;GUTIERREZ, RICARDO 3222;VILLA DEL PARQUE;COMUNA 11
48;-34.607291285227717;-58.490645542395775;MIELY;CUENCA 2474;1552481346/ 4502-8690;RODADOS_MIELI@YAHOO.COM;;FALSE;LUN A VIER DE 9 A 12.30 Y DE 15.30 A 19.30/SAB DE 9 A 18;CUENCA;2474;CUENCA 2474;VILLA DEL PARQUE;COMUNA 11
50;-34.584625070227062;-58.437908981269949;MONOCHROME;GORRITI 5656;1136268694;INFO@MONOCHROME.COM.AR;HTTP://WWW.MONOCHROME.COM.AR/;FALSE;LUN A VIER DE 11.30 A 19;GORRITI;5656;GORRITI 5656;PALERMO;COMUNA 14
51;-34.554646986985112;-58.484230392602669;THUNDER BIKES;AV. RICARDO BALB¡N 3827;4547-0451;INFO.THUNDERBIKES@GMAIL.COM;HTTP://WWW.THUNDERBIKES.COM.AR;FALSE;LUN A VIER 9 A 13 Y 15 A 19/SAB DE 10 A 14 Y 15 A 17;BALBIN, RICARDO, DR. AV.;3827;BALBIN, RICARDO, DR. AV. 3827;SAAVEDRA;COMUNA 12
52;-34.557060215984805;-58.466041249451614;11 A FONDO;CONGRESO 2757;4542-1835;INFO@11AFONDO.COM;HTTP://WWW.11AFONDO.COM;FALSE;LUN A VIE DE 10 A 14 Y DE 16 A 20/SAB DE 10 A 14;CONGRESO AV.;2757;CONGRESO AV. 2757;NUÑEZ;COMUNA 13
53;-34.621739459689046;-58.372654236484614;BICICLETERIA BALCARCE;SAN JUAN 495;4300-5369;;;FALSE;LUN A VIER DE 7 A 19 / SAB DE 8 A 14;SAN JUAN AV.;495;SAN JUAN AV. 495;SAN TELMO;COMUNA 1
54;-34.595764248867646;-58.414110858907392;TECNO BIKES;BILLINGHURST 1186;4962-7158;VICICLETERO@HOTMAIL.COM;;TRUE;LUN A VIER DE 10 A 20/SAB DE 10 A 16;BILLINGHURST;1186;BILLINGHURST 1186;RECOLETA;COMUNA 2
55;-34.629833403659838;-58.373626483621727;BICI VAZQUEZ;ITUZAINGO 602;4300-2081;DAVA62@HOTMAIL.COM;;TRUE;;ITUZAINGO;602;ITUZAINGO 602;BARRACAS;COMUNA 4
56;-34.588914857324781;-58.431593585714644;MUVIN;GORRITI 5051;48.332.154;INFO@MUVIN.COM.AR;HTTP://WWW.MUVIN.COM.AR/;FALSE;LUN A SAB DE 10 A 19;GORRITI;5051;GORRITI 5051;PALERMO;COMUNA 14
57;-34.611247498945751;-58.419016847260693;BICICLETERIA MOVIMIENTO / BICILAND;AV. RIVADAVIA 3746;4983-9569;;;FALSE;LUN A VIER DE 9.30 A 13.30 Y DE 16 A 20;RIVADAVIA AV.;3746;RIVADAVIA AV. 3746;ALMAGRO;COMUNA 5
58;-34.619952906610983;-58.407958858311993;BICICLETERIAS ALEJO;LA RIOJA 815;4957-1067/15-6553-6869;BICICLETASALEJO@YAHOO.COM.AR;HTTP://WWW.BICICLETASALEJO.COM.AR/;FALSE;LUN A VIER DE 8.30 A 19/SAB DE 9 A 18;LA RIOJA;815;LA RIOJA 815;SAN CRISTOBAL;COMUNA 3
59;-34.580320298819679;-58.456508642478482;BUSATO;GIRIBONE 990;4553-4278;RODADOSBUSATO@HOTMAIL.COM;;TRUE;LUN A VIER DE 9 A 13 Y DE 15 A 19/SAB DE 9 A 13;GIRIBONE;990;GIRIBONE 990;CHACARITA;COMUNA 15
60;-34.62290840053798;-58.390009342682241;FURIA SPECIALIZED SHOP;SOLIS 1221;4304 - 8638;FURIASHOP@GMAIL.COM;HTTP://WWW.FURIASHOP.COM/;FALSE;LUNES A VIERNES DE 10.30 A 19;SOLIS;1221;SOLIS 1221;CONSTITUCION;COMUNA 1
61;-34.588590162978576;-58.436033026386404;SOHO BIKE;GODOY CRUZ 1518;4777-2394;DIOSTEAMA_TANTOCOMOYO@HOTMAIL.COM.AR;;TRUE;LUN A VIER DE 10 A 20;GODOY CRUZ;1518;GODOY CRUZ 1518;PALERMO;COMUNA 14
63;-34.565346158865594;-58.50002826235054;RODADOS DAYE;AV. CRISOLOGO LARRALDE 569;4541-4374;MDAYE@DAYEBICYCLES.COM;HTTP://WWW.DAYEBICYCLES.COM/DAYEBICYCL;FALSE;LUN A VIER DE 10 A 19 Y SAB DE 10 A 16;LARRALDE, CRISOLOGO AV.;5690;LARRALDE, CRISOLOGO AV. 5690;VILLA URQUIZA;COMUNA 12
64;-34.622590150497047;-58.51353847440199;RODADOS DAYE;LOPE DE VEGA 1887;4567-6269;MDAYE@DAYEBICYCLES.COM;HTTP://WWW.DAYEBICYCLES.COM/DAYEBICYCL;FALSE;LUN A VIER DE 10 A 19 Y SAB DE 10 A 16;LOPE DE VEGA AV.;1887;LOPE DE VEGA AV. 1887;MONTE CASTRO;COMUNA 10
65;-34.574686604600466;-58.489820880694189;URQUIZA BIKES (SOLO VENTA);BUCARELLI 2530;4523-6031;CONSULTAS@URQUIZABIKES.COM.AR;HTTP://URQUIZABIKES.COM.AR;FALSE;LUN A VIER DE 10.30 A 14 Y DE 16.30 - 20.30/SAB DE 9.30 A 14.30;BUCARELLI;2530;BUCARELLI 2530;VILLA URQUIZA;COMUNA 12
66;-34.594785667208669;-58.42275414754679;VIDA SANA BIKE;GASCON 1349;6380-3192;VIDASANA@YAHOO.COM.AR;WWW.VIDASANABIKE.COM.AR;FALSE;LUN A SAB DE 10 A 19;GASCON;1349;GASCON 1349;PALERMO;COMUNA 14
67;-34.563591266470432;-58.454744170369985;BICI URBANA;SUCRE 2357;4784-0155 / 4787-2056;CONTACTO@BICIURBANA.COM.AR;WWW.BICIURBANA.COM.AR;TRUE;LUN A SAB DE 10 A 19;SUCRE, ANTONIO JOSE DE, MCAL.;2357;SUCRE, ANTONIO JOSE DE, MCAL. 2357;BELGRANO;COMUNA 13
69;-34.595111011484548;-58.413237106154021;SANTILLI;SOLER 3470;4963-0416;ZEKITO@HOTMAIL.COM;;TRUE;LUN A VIER DE 10 A 19 / SAB DE 10 A 14;SOLER;3470;SOLER 3470;RECOLETA;COMUNA 2
72;-34.581876339087103;-58.407444668475101;LUCKY BIKES;CABELLO 3266;4781-6910;INFO@LBIKES.COM.AR;HTTP://LUCKYBIKES.MERCADOSHOPS.COM.AR/;FALSE;LUN A VIER DE 12 A 19/SAB DE 10 A 14;CABELLO;3266;CABELLO 3266;PALERMO;COMUNA 14
73;-34.589317812091863;-58.401641710172832;VIA BIKE;FRENCH 2695;4806-5566 / 15 3432-2748;INFO@VIABIKE.COM.AR;HTTPS://WWW.FACEBOOK.COM/VIABIKEWEB/INFO;TRUE;LUN A VIE DE 10 A 20/SAB DE 10 A 13;FRENCH;2695;FRENCH 2695;RECOLETA;COMUNA 2
74;-34.593855863020501;-58.384536766870454;CANAGLIA RECOLETA;LIBERTAD 1238;4811 9112;CANAGLIARECOLETA@GMAIL.COM;HTTP://WWW.CANAGLIA.COM/INDEX.ASP;TRUE;LUN A VIER DE 10 A 13 Y DE 14.30 A 20/SAB DE 11 A 14;LIBERTAD;1238;LIBERTAD 1238;RETIRO;COMUNA 1
75;-34.609581200764758;-58.386732475614927;RODADOS FERRERI;AV DE MAYO 1454;4381-3683;HTTPS://WWW.FACEBOOK.COM/RODADOSFERRERI;HTTP://WWW.RODADOSFERRERI.COM.AR;FALSE;LUN-MAR-MIER Y VIER DE 10 A 20/JUE DE 10 A 17/SAB DE 10 A 13;DE MAYO AV;1454;DE MAYO AV. 1454;MONSERRAT;COMUNA 1
76;-34.581143645537146;-58.409027147850956;TU HOGAR SUSTENTABLE;CABELLO 3433;6091-3838;INFO@TUHOGARSUSTENTABLE.COM;HTTP://WWW.TUHOGARSUSTENTABLE.COM/;FALSE;LUN A VIER 10 A 13.30 Y 15 A 20/SAB 10 A 14 Y DE 15 A 18;CABELLO;3433;CABELLO 3433;PALERMO;COMUNA 14
77;-34.589942756939102;-58.429881280818215;BICIUP;GURRUCHAGA 1519;3530-1000;INFO@BICIUP.COM.AR;HTTP://WWW.BICIUP.COM.AR/;FALSE;MARTES A SABADOS DE 11 A 20/DOMINGOS DE 15 A 20;GURRUCHAGA;1519;GURRUCHAGA 1519;PALERMO;COMUNA 14
78;-34.611342655820103;-58.496925795586598;VENTON;SAN NICOLAS 2338 PUERTA B;4568-0123;INFO@VENTON.COM.AR;VENTON.COM.AR;FALSE;LUN A VIER DE 9 A 18;SAN NICOLAS;2338;SAN NICOLAS 2338;VILLA DEL PARQUE;COMUNA 11
79;-34.56874186752912;-58.458086410249827;LORD BIKE;CRAMER AV 1720;47814984;LORDBIKEVENTAS@GMAIL.COM;HTTPS://WWW.FACEBOOK.COM/LDBIKE;FALSE;LUN A VIER DE 10.30 A 13.30 Y DE 15.30 A 19.30/SAB DE 10.30 A 14;CRAMER;1720;CRAMER AV. 1720;BELGRANO;COMUNA 13
80;-34.588664108273306;-58.505860924061196;FILARDI;MOSCONI 3192;4571-9265;;HTTP://WWW.BICICLETASFILARDI.COM.AR/INICIO.HTM;FALSE;LUN A VIER DE 8:30 A 12 Y DE 15 A 19;MOSCONI;3192;MOSCONI GENERAL AV. 3192;VILLA PUEYRREDON;COMUNA 12
81;-34.603120487550719;-58.464975123249957;RODADOS PATERNAL;DONATO ALVAREZ 2090;4586-4243;RODADOSPATERNAL@HOTMAIL.COM.AR;WWW.RODADOSPATERNAL.COM.AR;TRUE;LUN A VIER DE 9 A 19.30/SAB DE 9 A 17;DONATO ALVAREZ;2090;ALVAREZ, DONATO, TTE. GRAL. AV. 2090;VILLA GRAL. MITRE;COMUNA 11
82;-34.564653763321928;-58.435323824435812;SOLDANI CYCLING;AV. DEL LIBERTADOR 4884;4772-4408;STORE@SOLDANICYCLING.COM;HTTP://WWW.SOLDAINICYCLING.COM/;FALSE;LUN A VIER DE 9 A 13 Y DE 16 A 20;DEL LIBERTADOR;4884;DEL LIBERTADOR AV. 4884;PALERMO;COMUNA 14
83;-34.590040736856061;-58.423999358093582;SOLDANI CYCLING;COSTA RICA 4401;3963-4083;COSTARICA@SOLDANICYCLING.COM;HTTP://WWW.SOLDAINICYCLING.COM/;FALSE;LUN A VIER DE 10 A 20/SAB DE 10 A 16;COSTA RICA;4401;COSTA RICA 4401;PALERMO;COMUNA 14
84;-34.600409108659932;-58.433241225935149;SIN RUEDITAS;AGUIRRE 184;4857-9594;BICISINRUEDITAS@GMAIL.COM;;FALSE;;AGUIRRE;184;AGUIRRE 184;VILLA CRESPO;COMUNA 15
85;-34.6258654742837;-58.418050095676485;TEAM BIKES;SAN JUAN 3738;4922-8973;INFO@TEAM-BIKES.COM.AR;HTTP://TEAM-BIKES.COM.AR/;FALSE;LUN A VIER DE 10 A 13 Y DE 15 A 20/SAB DE 10 A 17:30;SAN JUAN;3738;SAN JUAN AV. 3738;BOEDO;COMUNA 5
86;-34.585802292722505;-58.436122053700132;ROUEN;GORRITI 5484;;;;FALSE;;GORRITI;5484;GORRITI 5484;PALERMO;COMUNA 14
87;-34.610121680147451;-58.516327464866151;VIENTO BIKES;JOSE PEDRO VARELA 4735;;;;FALSE;;JOSE PEDRO VARELA;4735;VARELA, JOSE PEDRO 4735;VILLA DEVOTO;COMUNA 11
88;-34.58584196626402;-58.436167819768542;ROUEN;GORRITI 5484;15 6545-2933;INFO@ROUEN.CC;HTTPS://WWW.FACEBOOK.COM/ROUENCYCLING;FALSE;;GORRITI;5484;GORRITI 5484;PALERMO;COMUNA 14
89;-34.610058553375616;-58.516386299681805;VIENTO BIKES;JOSE PEDRO VARELA 4735;4639-0616;VIENTOBIKES@GMAIL.COM;HTTP://VIENTOBIKES.BLOGSPOT.COM.AR - WWW.FACEBOOK.COM/VIENTOBIKES;FALSE;;JOSE PEDRO VARELA;4735;VARELA, JOSE PEDRO 4735;VILLA DEVOTO;COMUNA 11
90;-34.618259210603853;-58.475735007536827;VICTORIAN BIKES;AV NAZCA 1303;4582-0116 / 39737209;VICTORIANBIKE@HOTMAIL.COM;WWW.VICTORIANBIKE.COM.AR;TRUE;LUN A VIER DE 9.30 A 20/SAB DE 9.30 A 20;NAZCA;1303;NAZCA AV. 1303;VILLA SANTA RITA;COMUNA 11
91;-34.604583995817677;-58.379479294642039;VIA BIKE;SUIPACHA 318;4806-5566 / 15 3432-2748;INFO@VIABIKE.COM.AR;HTTPS://WWW.FACEBOOK.COM/VIABIKEWEB/INFO;TRUE;LUN A VIE DE 10 A 20/SAB DE 10 A 14;SUIPACHA;318;SUIPACHA 318;SAN NICOLAS;COMUNA 1
92;-34.591256788691368;-58.398778881431298;ONE LOVE ONE BIKE;FRENCH 2350;4823-2890;ONELOVE.ONEBIKE@GMAIL.COM;HTTP://WWW.ONELOVEONEBIKE.COM.AR/;FALSE;LUN Y FERIADOS CERRADO/MAR A VIER 11 A 19/SAB Y DOM 10 A 15;FRENCH;2350;FRENCH 2350;RECOLETA;COMUNA 2
